C:\Users\user\Desktop\Luka Suhadolnik - Arminov BioL\5. december 2022\05-12-2022\1 M KOH Titripur\RDE10 - HEA-N-AO 50V 5m 10.11.22 FIB STEM\teflonski holder\3 OER O2 2 mVs 5000 RPM_02_CV_C01.mpr
Ewe/V vs. SCE	<I>/mA
1,403721451759338E+000	-2,516936515237888E-002
1,402009367942810E+000	-3,561568002869198E-002
1,400340676307678E+000	-3,574230941324524E-002
1,398646593093872E+000	-3,470997240927598E-002
1,396952509880066E+000	-4,217767170256859E-002
1,395262718200684E+000	-4,108148980605442E-002
1,393527030944824E+000	-3,477628098503677E-002
1,391824007034302E+000	-5,005489375875993E-002
1,390115022659302E+000	-4,857263952769364E-002
1,388404488563538E+000	-5,206592046485994E-002
1,386713147163391E+000	-4,764481168319362E-002
1,385008692741394E+000	-6,302633711132066E-002
1,383296012878418E+000	-5,516584815503101E-002
1,381607770919800E+000	-6,059378504522683E-002
1,379921317100525E+000	-6,214862430766455E-002
1,378224134445190E+000	-5,768325773353955E-002
1,376537919044495E+000	-6,033489270906256E-002
1,374824762344360E+000	-5,815875363507694E-002
1,373133301734924E+000	-7,416249892405846E-002
1,371430993080139E+000	-7,529047667581379E-002
1,369711041450500E+000	-8,398348244749743E-002
1,368007063865662E+000	-8,281519717947305E-002
1,366315126419067E+000	-7,628975915170577E-002
1,364599704742432E+000	-9,264769708373843E-002
1,362921357154846E+000	-9,097685246540577E-002
1,361236572265625E+000	-8,997408826479103E-002
1,359532952308655E+000	-9,576469301153256E-002
1,357843399047852E+000	-1,031939144014100E-001
1,356123208999634E+000	-1,045551482002840E-001
1,354413509368896E+000	-1,098172100762549E-001
1,352722525596619E+000	-1,105608119431293E-001
1,351014494895935E+000	-1,052929849140510E-001
1,349298596382141E+000	-1,222244864277566E-001
1,347614765167236E+000	-1,305522666051120E-001
1,345896482467651E+000	-1,309562035995410E-001
1,344205975532532E+000	-1,327127397410510E-001
1,342512965202332E+000	-1,414156989334427E-001
1,340824842453003E+000	-1,504349082552030E-001
1,339113712310791E+000	-1,619905528855805E-001
1,337419152259827E+000	-1,623863118940999E-001
1,335736036300659E+000	-1,607860672010704E-001
1,334005236625671E+000	-1,703267794076933E-001


1,332287311553955E+000	-1,801990092108920E-001
1,330591559410095E+000	-2,002342698310788E-001
1,328894495964050E+000	-1,944970610791563E-001
1,327204465866089E+000	-2,027805234203743E-001
1,325500845909119E+000	-2,118578772761328E-001
1,323830008506775E+000	-2,079858956138221E-001
1,322151064872742E+000	-2,209333816823200E-001
1,320455074310303E+000	-2,287720056748941E-001
1,318756341934204E+000	-2,326356923574582E-001
1,317053318023682E+000	-2,325518667553190E-001
1,315334796905518E+000	-2,297075427410109E-001
1,313638687133789E+000	-2,465702324262118E-001
1,311930775642395E+000	-2,464702844399802E-001
1,310241222381592E+000	-2,519344341810359E-001
1,308557271957397E+000	-2,596897127003164E-001
1,306861400604248E+000	-2,534972391902004E-001
1,305165052413940E+000	-2,617168418080604E-001
1,303443431854248E+000	-2,704275553989343E-001
1,301751255989075E+000	-2,735335568021879E-001
1,300514101982117E+000	-2,915379152247430E-001
1,300036787986755E+000	-2,839806040650923E-001

