voltage;current
1.44880011;2.2438861692089764
1.4504993800000001;2.5410959038585634
1.4521989400000002;2.88216990805796
1.4538985100000001;3.2591138601254652
1.4555981400000002;3.683604322698036
1.4572977599999999;4.16011720504247
1.45899733;4.669194478688892
1.46069696;5.2661647422153415
1.46239652;5.91777220043555
1.46409615;6.644217168642464
1.4657954800000002;7.437394122690479
1.46749493;8.291255201738878
1.46919449;9.254350801641296
1.4708941800000002;10.334731624435841
1.4725937500000001;11.514259646114464
1.4742933100000002;12.787933817653714
1.47599294;14.168651500553214
1.47769251;15.687221737066658
1.47939213;17.308541834714777
1.48109176;19.08823438404789
1.48279097;21.030858695910883
1.48449054;23.104339063771683
1.48619016;25.359142247726467
1.48788973;27.843559410422895
1.4895893;30.29424228957235
1.4912889200000001;32.938724665277135
1.4929884900000001;35.3828437391979
1.4946881200000002;38.22734535896304
1.4963876200000001;41.45865173263927
1.49808695;44.697035080102204
1.49978652;48.49024558978983
1.50148614;52.82579868762924
1.50318577;54.8265069283001
1.50488534;58.604755242680916
1.50658496;63.26400533391439
1.5082845900000001;68.88676375208479
1.5099841600000001;70.4549176702026
1.5116837200000002;76.24125117526714
1.51338311;79.98213282901327
1.5150825600000002;82.39865960813933
1.5167821300000002;87.12131229245121
1.51848175;92.71870080752439
1.52018132;99.3497059029824
1.52188095;103.14682375396352
1.52358051;108.78971961164515
1.52528014;117.32662437773536
1.52697977;117.42402575101627
1.52867898;121.37432265548816
1.53037854;129.33678537651377
1.53207811;140.11558681109685
1.5337777400000001;141.79494125254686
1.53547736;149.3157713027755
1.53717693;154.70354525091852
1.5388765000000002;158.88378392589607
1.5405761199999999;164.46431214673078
1.54227575;164.79468628830347
1.5439751400000001;174.23688037146036
1.54567452;187.6493944514991
1.54737409;185.4998874940652
1.54907372;194.09930908356176
1.54997387;196.6670856014155
1.54917379;195.96246461101404
1.5475741200000002;187.11282261414433
1.5458745600000001;181.68079262104573
1.5441749900000001;170.85604656840843
1.54247536;165.06808162084306
1.5407759200000002;159.49921440565154
1.53907659;155.3953454908835
1.53737696;148.05140270459444
1.53567734;145.9292652174199
1.53397777;139.85142997133647
1.53227814;132.34627338140896
1.53057858;129.7242946871135
1.52887901;118.68105309442984
1.52717944;114.60816964593525
1.52547976;110.81068466341218
1.5237806100000002;103.35583582981974
1.52208092;98.01998622641713
1.52038135;94.1240428399223
1.51868179;90.08365973365636
1.51698216;85.00389887625755
1.51528253;80.22750841893163
1.51358297;76.26579897468439
1.5118832800000002;71.06002492483934
1.51018407;67.23575514662596
1.50848456;62.77180793660969
1.506785;58.469868075153
1.5050853100000001;54.0729138967374
1.5033857400000001;50.59003454615494
1.50168618;47.33440716003917
1.49998655;43.6583399921453
1.49828692;40.243950502089255
1.49658736;37.247975064091044
1.4948879700000002;34.42478224970237
